"CountryNm","TimeStamp","ConfirmedNm","RecentCaseNum"
"Pakistan","2020-03-05","5","0"
"Pakistan","2020-03-06","5","0"
"Pakistan","2020-03-07","5","0"
"Pakistan","2020-03-08","5","0"
"Pakistan","2020-03-09","6","1"
"Pakistan","2020-03-10","16","10"
"Pakistan","2020-03-11","16","0"
"Pakistan","2020-03-12","19","3"
"Pakistan","2020-03-14","21","1"
"Pakistan","2020-03-15","28","7"
"Pakistan","2020-03-16","52","24"
"Pakistan","2020-03-17","187","135"
"Pakistan","2020-03-18","187","134"
"Pakistan","2020-03-19","241","54"
"Pakistan","2020-03-20","302","61"
"Pakistan","2020-03-21","461","159"
"Pakistan","2020-03-22","495","34"
"Pakistan","2020-03-23","784","289"
