"CountryNm","ConfirmedNum","RecentCaseNum","DeathNum","RecentDeathNum","TransmissionMode","TimeStamp"
"Canada","30","0","0","0","Local transmission","20200305"
"Canada","45","15","0","0","Local transmission","20200306"
"Canada","51","6","0","0","Local transmission","20200307"
"Canada","57","6","0","0","Local transmission","20200308"
"Canada","62","5","0","0","Local transmission","20200309"
"Canada","77","15","0","0","Local transmission","20200310"
"Canada","93","16","1","1","Local transmission","20200311"
"Canada","93","0","1","0","Local transmission","20200312"
"Canada","176","38","1","0","Local transmission","20200314"
"Canada","244","68","1","0","Local transmission","20200315"
"Canada","304","60","1","0","Local transmission","20200316"
"Canada","424","120","1","0","Local transmission","20200317"
"Canada","424","120","1","0","Local transmission","20200318"
