"CountryNm","ConfirmedNum","RecentCaseNum","DeathNum","RecentDeathNum","TransmissionMode","TimeStamp"
"Italy","3089","587","107","27","Local transmission","20200305"
"Italy","3858","769","148","41","Local transmission","20200306"
"Italy","4636","778","197","49","Local transmission","20200307"
"Italy","5883","1247","234","37","Local transmission","20200308"
"Italy","7375","1492","366","132","Local transmission","20200309"
"Italy","9172","1797","463","97","Local transmission","20200310"
"Italy","10149","977","631","168","Local transmission","20200311"
"Italy","12462","2313","827","196","Local transmission","20200312"
"Italy","17660","2547","1268","252","Local transmission","20200314"
"Italy","21157","3497","1441","173","Local transmission","20200315"
"Italy","24747","3590","1809","368","Local transmission","20200316"
"Italy","27980","3233","2503","349","Local transmission","20200317"
"Italy","31506","3526","2503","345","Local transmission","20200318"
