"CountryNm","ConfirmedNum","RecentCaseNum","DeathNum","RecentDeathNum","TransmissionMode","TimeStamp"
"Spain","198","47","1","1","Local transmission","20200305"
"Spain","257","59","3","2","Local transmission","20200306"
"Spain","374","117","5","2","Local transmission","20200307"
"Spain","430","56","5","0","Local transmission","20200308"
"Spain","589","159","10","5","Local transmission","20200309"
"Spain","1024","435","28","18","Local transmission","20200310"
"Spain","1639","615","36","8","Local transmission","20200311"
"Spain","2140","501","48","12","Local transmission","20200312"
"Spain","4231","1266","120","36","Local transmission","20200314"
"Spain","5753","1522","136","16","Local transmission","20200315"
"Spain","7753","2000","288","152","Local transmission","20200316"
"Spain","9191","1438","309","21","Local transmission","20200317"
