"CountryNm","ConfirmedNum","RecentCaseNum","DeathNum","RecentDeathNum","Transmission_Mode","TimeStamp"
"Australia","77","3","3","0","Local transmission","20200309"
"Italy","7375","1492","366","132","Local transmission","20200309"
"Bangladesh","3","3","0","0","Local transmission","20200309"
"Canada","62","5","0","0","Local transmission","20200309"
"Australia","122","10","3","0","Local transmission","20200312"
"Italy","12462","2313","827","196","Local transmission","20200312"
"Bangladesh","3","0","0","0","Local transmission","20200312"
"Canada","93","0","1","0","Local transmission","20200312"
"Australia","92","15","3","0","Local transmission","20200310"
"Italy","9172","1797","463","97","Local transmission","20200310"
"Bangladesh","3","0","0","0","Local transmission","20200310"
"Canada","77","15","0","0","Local transmission","20200310"
"Australia","112","20","3","0","Local transmission","20200311"
"Italy","10149","977","631","168","Local transmission","20200311"
"Bangladesh","3","0","0","0","Local transmission","20200311"
"Canada","93","16","1","1","Local transmission","20200311"
